repo,locs,years,nullitis
"acra",4702,3,36.74
"ActionBarSherlock",25178,2,36.91
"ActiveAndroid",1994,2,24.70
"AndEngine",34114,3,21.47
"android",19041,1,40.17
"android-async-http",1383,2,38.68
"Android-PullToRefresh",3583,1,26.79
"Android-Universal-Image-Loader",4861,1,40.00
"Android-ViewPagerIndicator",3072,1,31.20
"android_page_curl",1595,2, 8.67
"androidannotations",21253,2,23.23
"AndroidAsync",12586,0,30.75
"AndroidBillingLibrary",2639,2,30.17
"androidquery",11244,2,47.94
"ansj_seg",4582,0,28.76
"Argo",11330,0,25.29
"astrid",147573,3,29.66
"astyanax",37528,1,33.98
"atmosphere",33586,3,37.30
"aws-sdk-java",361316,3,63.95
"bateman",2622,0, 0.96
"blueprints",31593,3,19.44
"BuildCraft",35223,1,21.45
"Bukkit",29874,2,24.34
"cassandra",119617,4,21.23
"cleo",13922,1,24.31
"clojure",37310,7,25.47
"cocos2d",51744,3,13.84
"commafeed",8936,0,35.26
"commons",39936,4,17.36
"community",0,6,100.00
"config",8403,1,21.43
"CraftBukkit",64803,2,16.08
"Crouton",1249,0,48.61
"cssembed",1744,3,20.00
"curator",2226,1,33.33
"dagger",6335,1,25.83
"DiskLruCache",1720,1,20.00
"dropwizard",16143,2,30.91
"druid",162887,2,21.27
"elasticsearch",271597,3,26.57
"erjang",44649,3,25.90
"EventBus",2849,0,32.56
"facebook-android-sdk",25544,3,42.44
"fastjson",69480,1,18.32
"FBReaderJ",53522,5,27.67
"fitnesse",64452,8,20.26
"FizzBuzzEnterpriseEdition",510,0, 0.00
"flume",55124,3,27.46
"gephi",118052,4,25.60
"gifsockets",1328,0, 7.98
"gradle",153164,5,25.54
"greenDAO",14325,1,47.28
"gremlin",4559,3,11.80
"h2o",44664,0,22.56
"hazelcast",96058,4,26.39
"hbase",254979,6,22.49
"HoloEverywhere",39527,1,35.13
"Hystrix",14316,1,34.72
"ignition",5038,1,39.26
"ImageLoader",3816,1,40.25
"impala",445660,0,24.17
"jedis",13564,3,14.56
"jenkins",107950,6,30.74
"jna",43957,6,18.94
"jsoup",13192,3,11.82
"junit",23180,12,20.41
"kotlin",190354,2,26.45
"LazyList",460,2,30.43
"lombok",34085,4,28.86
"mahout",122068,5,10.23
"MapDB",43008,0,14.94
"metrics",11229,3,17.71
"MinecraftForge",13286,1,19.82
"netty",87636,4,26.78
"NewQuickAction",587,2,46.67
"NineOldAndroids",6436,1,39.92
"okhttp",15134,0,24.60
"OpenRefine",49588,3,23.40
"opentsdb",11008,3,19.68
"otto",1691,1,35.37
"pad",70032,3,17.56
"PagerSlidingTabStrip",711,0,25.00
"parboiled",16926,3,17.84
"phonegap-plugins",75556,3,14.22
"PhotoView",1235,0,46.51
"picasso",4199,0,46.63
"Polaris",1630,0,40.00
"reactor",12266,0,27.87
"retrofit",4620,2,35.48
"rhino",81966,14,18.46
"RibbonMenu",350,1,27.27
"roboguice",5504,3,23.12
"robolectric",60658,3,33.52
"robotium",4273,3,34.44
"rootbeer1",27097,0, 3.74
"rstudio",102169,2,24.72
"RxJava",14112,1,23.91
"scribe-java",5192,2,25.00
"sensei",38587,3,29.97
"ShowcaseView",981,0,38.33
"sikuli",35912,3,19.64
"SimianArmy",13090,1,28.59
"SlidingMenu",3206,1,29.17
"spark",3878,2,30.46
"spring-framework",402914,4,29.71
"springside4",10557,1,32.28
"StickyListHeaders",1075,1,35.56
"storm",19329,1,25.58
"tachyon",10450,0,18.14
"TeleHash",4185,3,25.44
"Terasology",70189,2,21.43
"TextSecure",34490,1,26.88
"titan",28868,1,17.59
"twitter4j",31539,6,23.98
"UrlImageViewHelper",1142,2,52.17
"vert.x",32114,2,33.03
"voldemort",106619,2,16.58
"webbit",7966,2,23.68
"weiciyuan",42703,0,34.76
"wildfly",568086,3,30.07
"worldedit",31754,2,18.16
"XobotOS",836862,1,29.19
"YCSB",7193,3,21.32
"yuicompressor",5938,5,13.94
"zxing",40564,5,14.88
